,menu_price,votes,average_cost_for_two,restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,cuisine,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,rating,menu_category,item_name,price_range_cat
6293,-0.18037307124507507,0.6704568347420323,6.55250788703459,213,,1,,,,,,,0,0,0,0,2,3.2,,,2
6294,-0.18037307124507507,-1.6263530336474072,6.55250788703459,18499474,,1,,,,,,,0,0,0,0,2,1.0,,,2
6295,-0.18037307124507507,-1.2931282919594205,6.55250788703459,18449798,,1,,,,,,,0,0,0,0,2,1.0,,,2
6296,-0.18037307124507507,0.022493861604416663,6.55250788703459,308187,,1,,,,,,,0,0,0,0,2,3.1,,,2
6297,-0.18037307124507507,0.5943597504723026,6.55250788703459,212,,1,,,,,,,0,0,0,0,2,2.8,,,2
6298,-0.18037307124507507,0.540101624098559,6.55250788703459,3893,,1,,,,,,,0,0,0,0,2,3.4,,,2
6299,-0.18037307124507507,0.45253784732958896,6.55250788703459,3608,,1,,,,,,,0,0,0,0,2,3.0,,,2
6300,-0.18037307124507507,0.5891931778081105,6.55250788703459,3223,,1,,,,,,,0,0,0,0,2,2.8,,,2
6301,-0.18037307124507507,0.5166204332391753,6.55250788703459,3004,,1,,,,,,,0,0,0,0,2,2.5,,,2
6302,-0.18037307124507507,0.242735006259961,6.55250788703459,313265,,1,,,,,,,0,0,0,0,2,2.6,,,2
6303,-0.18037307124507507,0.25307814652866706,6.55250788703459,310345,,1,,,,,,,0,0,0,0,2,2.5,,,2
6304,-0.18037307124507507,0.47917276977862994,6.55250788703459,6128,,1,,,,,,,0,0,0,0,2,3.1,,,2
6305,-0.18037307124507507,-0.34999417100898617,6.55250788703459,312747,,1,,,,,,,0,0,0,0,2,2.9,,,2
6306,-0.18037307124507507,0.34610950308542626,6.55250788703459,7396,,1,,,,,,,0,0,0,0,2,3.3,,,2
6307,-0.18037307124507507,0.21033980761465573,6.55250788703459,309560,,1,,,,,,,0,0,0,0,2,3.4,,,2
6308,-0.18037307124507507,0.12530034731014114,6.55250788703459,311903,,1,,,,,,,0,0,0,0,2,3.4,,,2
